Text,Label,Num_words,Length_class
"⭐️🇺🇸⭐️ Over 80 people died in gang related deaths in Chicago over a single 2 day weekend. There's a deadly epidemic. Why wasn't there a nationwide panic, social distancing and toilet paper shortages over that? #Politics. ⭐️🇺🇸⭐️ . #COVID2019 #coronavirus #COVID",UNINFORMATIVE,41,1
"We are sorry to hear of the #COVID19 related death of Angus Webb, Technical Director and Founder of @USER He died in hospital in Spain last night. Our thoughts are with his family, friends and work colleagues HTTPURL",INFORMATIVE,38,1
"Not what @USER article said, nor what @USER said. Article says school shutdowns will save 2-4% of TOTAL deaths from the virus. Total Covid deaths so far in U.S. approx 33K. So about 660 lives, not all kids, not 1.7 million. ""Quack""? Kurt, does the word ""libel"" ring a bell?",INFORMATIVE,50,2
The Japanese drug camostat mesylate has now arrived in Denmark and the first patient at Aarhus University Hospital is now testing the effect of the drug against COVID-19. #COVID19 #coronavirus HTTPURL HTTPURL,INFORMATIVE,32,1
"Boris Johnson's Govt, Brexit, Rishi Sunak, Coronavirus... At least Brits can recover from Coronavirus. #COVID19 #RishiSunak HTTPURL",UNINFORMATIVE,17,0
"@USER @USER @USER .@USER .@USER If the #Coronavirus test came from the #DonaldTrump family, they don't work. The #CDC recalled so many test, now they come with a disclaimer, test always reads negative. #TrumpTrialForCoronavirusDeaths #GOP #WhiteHouse #NancyPelosi HTTPURL",UNINFORMATIVE,38,1
"The infographic shows the spread of #COVID19 outside of China. #Ireland has 683 confirmed cases with three deaths. Brave healthcare works, volunteers, communities are giving everything to contain the virus and assist each other in this difficult moment. Source: BBC, JHU HTTPURL",INFORMATIVE,42,1
"#WATCH Chhattisgarh: A policeman, Abhinav Upadhyay sings a song to spread awareness about #COVID19 in a residential area of Civil Lines in Bilaspur. A woman had tested positive for the disease in the city after returning from Saudi Arabia. There are 7 COVID-19 cases in state. HTTPURL",INFORMATIVE,47,2
Gov. Ron DeSantis announced first two Small Business Emergency Bridge Loans to businesses impacted by COVID-19. Both are Tallahassee businesses: @USER and the local @USER,UNINFORMATIVE,25,1
The Queen should decree that any Commonwealth country ban any supporters of trump &amp; deny any access 2 cross their borders due 2 the high potentiality of spreading the COVID19 viral disease😷 Lifting restrictions is a death sentence 2 everyone globally☠️ HTTPURL,UNINFORMATIVE,42,1
"Planned Parenthood(PP)begs for protective equipment to KILL BABIES while other Dr’s &amp; Nurses have to go WITHOUT as they try &amp; save the lives of #CoronaVirus patients! How utterly Evil, Selfish, &amp; Sick PP is! Corona Patients are Dying so PP kills Babies?! HTTPURL",UNINFORMATIVE,44,1
"Trump described Washington Gov. Jay Inslee as ""a snake"" on Friday, a day after Inslee, Vice President Mike Pence and state officials held a harmonious meeting to discuss COVID-19 in a state which has recorded 80 cases and 14 deaths in the state. HTTPURL",INFORMATIVE,44,1
"“I will challenge any health institution or agency to bring any known case of coronavirus to me and see how it will disappear within a few days...."" The Provost of Luminar International College of Alternative Medicine, Enugu, Prof. Joseph Akpa. HTTPURL",UNINFORMATIVE,41,1
Signs Covid-19 Is An All Out Attack Upon America By China Who Promised To Kill Millions Of Americans With Biological Weapons! HTTPURL,UNINFORMATIVE,22,1
Some crazy state-by-state COVID numbers. NJ has run 1240 tests. 890 came back positive. Louisiana 479 of 1047 Ohio 169 of 309 Maryland 149 of 243 Alabama 81 of 109 Delaware 38 of 74 The virus is far more widespread than the numbers indicate. We're still waaay behind on testing.,INFORMATIVE,50,2
ALERT | Labor &amp; Employment attorney Stacie Caraway highlights the “Top 12” new items covered in the DOL’s regulations for employers regarding the Families First Coronavirus Response Act. HTTPURL #FFCRA #DOL #COVID19 #Coronavirus #PaidLeave #FMLA #MillerMartinLaw HTTPURL,UNINFORMATIVE,37,1
Nobody gives a shit what dotard&amp; toadies are saying about the Coronavirus or messed up MSM giggling over asinine statements. The only relevent question. Is this country seriously going to let dotard &amp; his toadies treat the American people like a science project? RUFKM #inners,UNINFORMATIVE,45,2
"This week, covid-19 presents grim choices between life, death and, ultimately, the economy (11:02), lockdowns in Asia have sparked a stampede home (17:52) And, Formula 1 comes up with a breathing machine for covid-19 patients. HTTPURL",UNINFORMATIVE,36,1
Twenty-five in contact with Hanoi #COVID19 patient test negative for virus HTTPURL #Vietnam #coronavirus #COVIDー19 #Hanoi HTTPURL,INFORMATIVE,17,0
"Home-flipping shows on @USER have become our coronavirus comfort viewing, specifically Flip or Flop. Nic likes when the houses are a total disaster, but then has strong opinions about Christina's fondness for bold kitchen backsplashes and chevron-patterned fireplace mantles.",UNINFORMATIVE,39,1
"@USER Tonight, to recover from remarks on #coronavirus, #GovernorPhotoOp will probably go to some event or gala, but this ignored #WheelchairUser may not sleep well. MATTHEW 25:34-46 GoFundMe/Video:HTTPURL UNREAD Sisolak Email: HTTPURL",UNINFORMATIVE,32,1
Evidence that some countries will recover better than others. #COVID2019 death rates have fallen strongly in #China and #SouthKorea - but remain stable and high in #France and are still rising in the #UK - lessons? seems linked to public health systems and social cohesion. HTTPURL,UNINFORMATIVE,46,2
Maryland Governor Larry Hogan said health officials had tracked the 3 new cases in Montgomery County to an Egyptian cruise ship on the Nile. #Coronavirus #CoronavirusOutbreak #COVID19 HTTPURL,INFORMATIVE,28,1
"Flu has been calculated to be fatal in 0.1-0.2% of cases. Chris Whitty, the UK chief medical officer, has predicted that coronavirus would kill around 1% of the people who contracted it, and there are fears that figure could be higher.",UNINFORMATIVE,41,1
"I am very happy to see that the US numbers for RECOVERIES from #COVID19 are going up. A couple of days ago it was less than 1K. 163,807 infections 3,008 deaths 5,846 recoveries Finally, we see more reported recoveries. This number should continue to rise very quickly.",INFORMATIVE,47,2
"Negan Dewine aka our governor #Buckeye Not his biggest fan by far, but appreciate the aggressive effort against #Covid_19 HTTPURL",UNINFORMATIVE,20,0
"Good news for Victoria in the @USER Coronavirus Blog : cases of coronavirus are taking 7 days to double, not 2 or 3 days. It isn't easy taking tough measures to control coronavirus, but it is absolutely necessary, and this shows what can be achieved. @USER",UNINFORMATIVE,46,2
"Almost 4600 people died just yesterday from Covid 19 here in US 😥 This is from an ER nurse named Amy Elizabeth: ""I am posting, for once, about something other than my dog. I have seen 4 patients die, 5 get… HTTPURL",INFORMATIVE,42,1
"But Orange Man Bad! It's Trump's fault! Blah, blah, blah.... #NewYork #Cuomo #COVID19 #coronavirus #NYTimes New York City stockpiled ventilators for a pandemic, only to later auction them off: report HTTPURL",UNINFORMATIVE,31,1
#CoronaUpdate of #Madhubani Travellers in distt. - 4764 Total person in Home quarantine - 4145 No of person monitored today -4003 Sample collected today - 11 Coronavirus test negative till today - 63 Result awaited - 15 #BreakTheChain @USER HTTPURL,INFORMATIVE,40,1
"@USER Another 758 patients have died in England after contracting the coronavirus - bringing the total to 5,655. The figures have been released by NHS England, showing 224 of the deaths were in London, 142 in the Midlands and 101 in the east of England.",INFORMATIVE,45,2
@USER @USER Cuomo has already publicy stated that it is ONLY Gates whose advice he listens to on COVID19.,UNINFORMATIVE,19,0
Treasury Secretary Steven Mnuchin announced Friday that the administration has moved the IRS deadline for filing taxes from April 15 to July 15 due to the disruption caused by the coronavirus.,UNINFORMATIVE,31,1
"These worrisome estimations indicate many additional unintended pregnancies, and pregnancy related deaths, to come. We must stay vigilant with regards to the sexual and reproductive health and rights of all. #SRHR #SRHRandCOVID19 HTTPURL",UNINFORMATIVE,33,1
"Yep, #COVIDー19 could be spreading through the ranks of our troops overseas now, soldier in Kuwait being closely monitored. May have got it on leave in Italy. #FridayReads #CoronavirusOutbreak #CoronaVirusUpdate",UNINFORMATIVE,30,1
"There are an estimated 100 million malaria cases with over 300,000 deaths per year in Nigeria. This means that the mortality rate of malaria is in Nigeria 0.3% right? And it’s not communicable, it has a treatment and cure so how is it deadlier that covid19?? HTTPURL",UNINFORMATIVE,47,2
"First coronavirus deaths reported in indigenous communities in the Amazon “COVID-19 has fertile terrain to spread rapidly among the populations that live in Amazonia,” says president of prominent Brazilian rights group. HTTPURL",INFORMATIVE,32,1
"The first American deaths by #coronavirus outside of #WashingtonState have just been reported; 2 people in #Florida have died. Meanwhile, #PunkTrump is at a campaign fundraiser at #MaraLago at this moment. Imagine if Obama, or any other #POTUS doing this during a #nationalcrisis",INFORMATIVE,43,1
In my hometown of Chicago 46 people died from covid today. Including a baby. What will it take for the Australian government to take this seriously? @USER @USER,INFORMATIVE,28,1
"I ought to be unbelievable that after SARS, Avian Flu and knowing there would be more pandemics, there was a massive stock of masks. But there wasn’t. I suspect down to Tory budget cuts. Criminal. #GuiltyMen #Corvid19uk #coronavirus",UNINFORMATIVE,38,1
"I’ll be live on @USER tonight from 23:00, with Vol II of ‘The Numbers Suite’. Come and join me and the rest of the DJ gang tonight at the #PandemicParty on HTTPURL #COVID19",UNINFORMATIVE,33,1
@USER Today my daughter screening Covid 19 cases at a corporate hospital in Mumbai faced unruly relatives lifting chairs to attack doctors. Yet handled it gracefully.,UNINFORMATIVE,26,1
"Sad news: My mom told me that one client at Haven Hill was test positive with COVID-19 and Haven Hill is closed last Friday now because of the coronavirus in the USA. So, all clients are staying home to stay safe and healthy.",INFORMATIVE,43,1
In our #newsletter today: @USER message sent to @USER with our requests to support the construction sector. 3 urgent measures are needed to face the negative impact of Covid-19 on our sector #coronavirus #Health #Construction HTTPURL HTTPURL,UNINFORMATIVE,37,1
"#ITWAN // ""He coughed on the woman and told her, after doing so, that he had coronavirus,"" Murphy said. The man, identified as George Falcone of Freehold, then allegedly refused to give police his name or driver's license for more than 40 minutes. HTTPURL",INFORMATIVE,44,1
"Join us Thursday, 9 April at 12.30 PM CEST for the first ""COVID-19: From viral to containment"" webinar on #primarycare and #healthmanagement during the #COVID19 outbreak. For more info and to register ↓ HTTPURL",UNINFORMATIVE,34,1
"🦠 #Ukraine does much fewer tests than other countries. Thus, the total number of Ukrainians infected with #COVID19 may be higher than the official number of confirmed cases. ⚠ For more updates, follow our LIVE: HTTPURL HTTPURL",UNINFORMATIVE,37,1
A healthy 39-year-old DJ died of coronavirus. What his young widow and daughter want you to know - CNN HTTPURL,INFORMATIVE,20,0
"CBRE’s @USER to @USER The #hotel industry’s gradual, U-shaped recovery from COVID-19 containment efforts will take at least 12 to 18 months. HTTPURL",UNINFORMATIVE,23,1
"Total # of Covid-19 cases in Fairfax Health District at 372 today, up 44 since yesterday, per @USER Virginia total passes 2,000, now at 2,012 including 46 deaths. Fairfax's total is 18.5% of Virginia.",INFORMATIVE,34,1
Live Bay Area coronavirus updates: Known cases in Santa Clara County in Northern California grows to 24. Will real estate prices go down? HTTPURL via @USER,INFORMATIVE,26,1
"#welcome to #Italy !!! not anymore !!! - a secondary center of the #outbreak with more than 10,000 reported cases so far... - #Italians are under a second day of a nationwide lockdown #Wednesday with people only able to move around for urgent #health &amp; work reasons. #COVID2019 HTTPURL",INFORMATIVE,49,2
"Experts &amp; Trump advisers doubt White House's 240,000 coronavirus death estimate. It's called a @USER swoop in &amp; save 🇺🇸 number. #DonTheCon's too self-absorbed to realize his con won't work this time. HTTPURL",UNINFORMATIVE,33,1
"Good morning, Capital Region. I’ve been live this morning highlighting the latest COVID-19 updates from the Governor’s office. Hope you’re waking up with 10! @USER HTTPURL",UNINFORMATIVE,26,1
"Thank u medical workers Thank u grocery store workers Thank u pharmacy workers Thank u police/fire/EMT Thank u delivery workers Thank u food workers Thanks Beyond Thanks ""You’re our new🇮🇳 Indian🇮🇳 heroes"" #COVID19",UNINFORMATIVE,33,1
Health Minister: 11 people on board of the Nile cruise ship in Upper Egypt's Luxor tested negative for coronavirus. HTTPURL,INFORMATIVE,20,0
"My 89 year old grandmother is in a convalescent home in Montreal recovering from a series of non-COVID health issues. This week, the facility had an outbreak of COVID. After a few days they decided they lacked capacity to separate patients w/ COVID. (1/3)",UNINFORMATIVE,44,1
"Due to negligence Covid-19 cases are rising significantly in Italy, Spain,France etc. 👉13 doctors have died treating Corona patients and 2,600 health workers are infected with Corona in Italy as of yesterday. 👉627 people died yesterday alone, 4100 people died @USER HTTPURL",INFORMATIVE,42,1
"Update to the animation of @USER Covid-19 Trajectory Tracker. Italy added 5,986 cases, Germany 4000+. While Italy also had 627 deaths and Spain another 213 US is seeing a big surge with only China having more cases at this stage. HTTPURL #dataviz #ddj HTTPURL",INFORMATIVE,44,1
Coronavirus kills two Florida residents in the first East Coast deaths attributed to outbreak - Daily Mail Coronavirus kills two Florida residents in the first East Coast deaths attributed to outbreak Daily MailCo… HTTPURL #NEWS #WORLDNEWS #GOOGLENEWS HTTPURL,INFORMATIVE,38,1
"Stocks tumble into the close after @USER threatens to put a hold on the coronavirus stimulus bill; Nasdaq turns negative and Dow up only 480 points after surging 1,300 earlier HTTPURL HTTPURL",UNINFORMATIVE,32,1
"@USER The Left &amp; #FakeNews are Over-hyping the #Coronavirus to create mass hysteria to tank Trump's record economy before the election &amp; shrink Trump's rally turnouts. 50,000+ PEOPLE HAVE RECOVERED FROM #CORONAVIRUS AROUND THE WORLD, ACCORDING TO JOHNS HOPKINS HTTPURL",INFORMATIVE,40,1
"@USER @USER @USER @USER HTTPURL Coronavirus: Italy says 99 per cent of people who died had other illnesses Italian authorities looking into medical records to understand why death rate is so high Average age who died is 79.5 and over 75% had high blood pressure, while about 30% diabetes",UNINFORMATIVE,49,2
"#Eritrea: In #Spain, they had JUST around 16 cases &lt; 4 WKS BACK! Now: 3rd most common #COVID19 infected nation in whole world - 85,000 cases &amp; over 7000 deaths! &amp; #Spain is not in sub-Sahara Africa, where despotic rule + anemic economy/population/health infrastructure is z rule",INFORMATIVE,47,2
"South Australia has registered NO positive COVID-19 cases in the last 24 hours, continuing a dramatic flattening of the curve in the state over the last week. The results came despite the testing criteria being widened over the last two days. Full story below via @USER",INFORMATIVE,46,2
#BREAKING: Gov. DeSantis confirms a 3rd fatality at Atria Willow Wood in Broward. Ten total cases of COVID-19 have been confirmed at the fatality (including the 3 fatalities). HTTPURL,INFORMATIVE,29,1
Recovered from #COVID19 #coronavirus ?? Please tweet your story!!! Hashtag the media!!! Please retweet this. #shutdownthepanic,UNINFORMATIVE,16,0
A token of appreciation and #support to my (former) colleagues at Zuyderland for the great work they are doing in the Netherlands! #communityimpact #caring #collaboration #covid19. David Jongen kudos! HTTPURL,UNINFORMATIVE,30,1
"@USER W/o Seattle nursing home cases there'd probably still be zero sense of concern here. Even now many treat Seattle and Bay Area as exceptional clusters, vs admitting they're everywhere. How many ""flu"" deaths in January &amp; Feb were Covid? How many hospitalized w/ it now? No clue",UNINFORMATIVE,48,2
Hall County accounts for 23% of Nebraska's confirmed COVID-19 cases despite holding just 3% of the state's population. We dive into the numbers and what they mean for the Grand Island area. HTTPURL,UNINFORMATIVE,33,1
"Alex Jones, the founder of Infowars, is one of many opportunists trying to profit off the global health crisis, falsely claiming that his colloidal-silver products can kill the coronavirus. HTTPURL",UNINFORMATIVE,30,1
"COVID-19 cases will continue to grow in coming weeks. Michael McDonald, Grammy-award winning member of @USER &amp; Steely Dan, partners w/ @USER advising public to stay home &amp; #StopTheSpread. Thank you, Michael! #ACSCOVID19 HTTPURL",UNINFORMATIVE,34,1
"@USER YOU ARE RIGHT, pretty easy to stop the “argument”. Call it what Medical professionals and rest of the World is #COVID19 Stop the bullshit that the GOP keeps trying to spin for political reasons.",UNINFORMATIVE,35,1
An Isolation facility has been established at the Makoi Maternity Hospital in Nasinu. The facility will be used for COVID-19 positive children and pregnant mothers who go into labour. #FBCNews #FijiNews #Fiji #FJUNITED #COVID19 More: HTTPURL HTTPURL,UNINFORMATIVE,37,1
This has to be some kind of first. Our awesome @USER master’s student defended his #GVHD #RNAseq thesis via @USER today. Effective! 🙌@USER @USER #COVID #StayHome HTTPURL,UNINFORMATIVE,27,1
"RIP NHS heroine Areema Nasreen. The 36 year old nurse worked at Walsall Manor Hospital, where she has died after contracting Covid-19 treating patients. #NHSheroes HTTPURL",INFORMATIVE,26,1
"#Iran's Deputy Health Minister Ali-Reza Raeesi said on Friday that the cases of #Covid_19 infection reached 19,644 with death toll having mounted to 1,433 in the country.",INFORMATIVE,27,1
"Watch: Midlands leaders meet to discuss coronavirus preparations Columbia, S.C. (WOLO)–So far DHEC says there are no cases of coronavirus in South Carolina... HTTPURL",INFORMATIVE,24,1
First case of COVID-19 confirmed in Whitman Co. Female patient in her 20's has recovered &amp; is self-isolating at home. Whitman Co. Public Health is working to identify those who may have been exposed through contact with the patient. Ongoing updates: HTTPURL #MyPD HTTPURL,INFORMATIVE,44,1
"The number of confirmed cases of #coronavirus in Seattle is 14. If Trump is correct that the fatality rate is .5%, then there are 2786 people with the virus in Seattle. If it is 3%, 452. Either way, containment seems like a myth.",INFORMATIVE,43,1
"What a great thread Kathy and @USER 👏🏽 So many female athletes wonder what can I do? For my cycle, my bones, my health. ... it's like worrying about the coronavirus - you'll recover but you know you'll be at high risk sooner or later &amp; it may be life-altering!",UNINFORMATIVE,50,2
🙏🙏🙏 Coronavirus Cases Strain New York City Hospitals: ‘We’re Getting Pounded’ - WSJ HTTPURL,UNINFORMATIVE,14,0
"US evacuated 75 staff members of the United States embassy in Islamabad. Earlier, an employee of the United States embassy in Islamabad is suspected to have caught #COVID19 #CoronaVirus HTTPURL",INFORMATIVE,30,1
"🇨🇦 🦠 Coronavirus: What are community cases and should Canadians be concerned? 🦠 🇨🇦 - Sat, 21 Mar 2020 #COVIDー19 #COVID2019 #CanadaCovid19 HTTPURL",UNINFORMATIVE,23,1
I might’ve had the Coronavirus when I was sick af Valentine’s Day weekend. I was tested for the flu but it came back negative but the doctor said it was still possible that I had the flu because of my symptoms. But looking back I definitely could’ve had the Coronavirus,INFORMATIVE,50,2
The #US is now over 175K #coronavirus cases while #Austria became the 13th country to go over 10K cases. The 🌎 total number of deaths climbed over 40K. #NewYork continues to dwarf all other states in both cases &amp; deaths. I hope that #COVID19 deaths are classified correctly. HTTPURL,INFORMATIVE,49,2
FYI- Chambers County confirms first COVID-19 positive case. *This is the only information we have. No specific info released on location. HTTPURL,INFORMATIVE,22,1
"Hunter McKenzie, an American living in South Korea, when she learned a woman at her grocery store tested positive for #COVID19 last week: “It was difficult not to panic… But I also knew it would be irresponsible to not get screened.” HTTPURL",INFORMATIVE,42,1
"First #COVID19 infection at Camp Casey, closest US military base to North Korea &amp; home to 210th FIeld Artillery Brigade. Raises @USER total to 21 HTTPURL",INFORMATIVE,26,1
.@USER &amp; @USER are giving a press conference right now &amp; there's a 6th confirmed case of #coronavirus in #Chicago today: a CPS teacher at Vaughn Occupational HS. @USER @USER please cancel tomorrow's rally in Grant Park. #COVID19. @USER,INFORMATIVE,39,1
"@USER We live in the southern part of NH's lake region, in a very small rural town, on a dead-end road. Yesterday, our county confirmed its first case of COVID19. This morning, we found out that case lives on our road. The family did everything right to protect our community.",INFORMATIVE,50,2
You know what makes my blood boil even more? There are MORE people and traffic on the roads in my area than BEFORE coronavirus. People are NOT self-isolating and @USER @USER don't seem to be enforcing. Also Southwark has the highest number of cases in London.,UNINFORMATIVE,46,2
COVID-19 UPDATE | Health Minister Dr Kalumbi Shangula announced two more positive cases in Namibia. Namibia now has 16 cases. Case 15 is a 31-year-old Namibian male in contact with a South African friend. Case 16 is a 46-year-old medical practitioner who traveled to South Africa.,INFORMATIVE,46,2
"Reports #Hawaii is shutdown. #Kauai imposing mandatory curfew on island of 72,000 #Hawaii had 26 cases of coronavirus as of Friday. The island’s first two cases of Covid-19 arrived when 2 visitors from the continental US flew from Maui to Kauai. HTTPURL",INFORMATIVE,42,1
"Thailand sees biggest jump in coronavirus cases Thailand reported 89 new cases, taking its total to 411 and Singapore has recorded its first two deaths from the virus.",INFORMATIVE,28,1
Reporter who has been at the White House 4 times recently is suspected to have COVID-19 coronavirus: report – Raw Story HTTPURL,INFORMATIVE,22,1
"If I have to mask up, I want one of those masks made in Israel, like Joel Rosenberg wore on his flight a few days ago. U.S. coronavirus deaths top 1,000 in single day, White House expected to recommend everyone wear masks - The Hour HTTPURL",INFORMATIVE,46,2
"Not everyone seems to have heard this: 1 in 4 of us infected with the coronavirus stay asymptomatic. Those of us who ARE symptomatic are ""shedding significant virus"" up to 48 hours BEFORE we show symptoms. That's from the head of the CDC. HTTPURL",UNINFORMATIVE,44,1
The FL Department of Health retracts their earlier release saying the Pasco patient did NOT pass away. Correction was made almost three hours later. There are 10*** deaths in the state relating to COVID-19. HTTPURL,INFORMATIVE,35,1
"Also @USER said a Hialeah hospital is charging people $150 for testing, he's asking AG Moody to investigate the price-gouging allegation. Testing for coronavirus is free in Florida, gov said.",UNINFORMATIVE,30,1
KOD Lyons Solicitor Eoghan O’Sullivan looks at European and Irish laws on recovering cost of a cancelled holiday #COVID19 Travel Disruption – Your Rights – KOD Lyons #consumerrights HTTPURL,UNINFORMATIVE,29,1
#Turkey's #COVID19 increase rate is *FASTER* than #Italy's - #Turkey has *MORE* cases at the same stage than #Italy or S. #Korea (See graph via @USER @USER #COVIDー19 #CoronavirusPandemic HTTPURL,UNINFORMATIVE,30,1
"In the #Triad, officials confirming this morning that Guilford Co. has 7 cases of #Covid_19, 8 cases in Forsyth Co., and one each in Alamance and Davidson counties. @USER",INFORMATIVE,29,1
"As the global #COVID19 cases cross 1 million, here is someone on the frontlines - testing, Rx &amp; adv. for #PPE, all w/ hope &amp; courage. Look forward to our conversation w/ @USER tomorrow at 7 am PT. Org. by @USER Join us via Zoom - Register: HTTPURL",INFORMATIVE,48,2
"SXSW has officially been canceled amid growing fears over the spread of #coronavirus — As of Friday, March 6, there have been 17 confirmed virus cases in Texas, where the annual entertainment, music &amp; technology festival takes place, via @USER HTTPURL #SXSW2020 HTTPURL",INFORMATIVE,43,1
Colombia confirms first case of #COVID19; the 19-year-old patient recently arrived in Bogota from Italy HTTPURL HTTPURL,INFORMATIVE,17,0
It wouldn't surprise me of the CCP killed that Wuhan doctor that tried to warn people. He would have been a real thorn in their side if he had survived. Practically no healthy people at 35 years old die from coronavirus. So far none have in Italy,UNINFORMATIVE,47,2
"Internet providers offering free access during COVID-19 shutdown Charter Communications offering free service for 60 days for families with students who do not already have service, Comcast offering free service to low income families for 60 days LINK: HTTPURL",UNINFORMATIVE,39,1
"This is the state of isolation facility in Narela, Delhi by Govt for COVID-19 suspects. If not with Coronavirus, people staying there would catch infection otherwise in these dirty toilets. Please look into the matter @USER @USER @USER . #coronavirusindia HTTPURL",UNINFORMATIVE,41,1
"Contrary to previous reports, there are still around 450-500 students stranded inside UPLB dorms in Los Baños, Laguna due to COVID-19. Rosan Arsolon, Chairperson of Alliance of Dormitory Association confirmed this to the Manila Bulletin. | @USER",UNINFORMATIVE,37,1
"#Turkey #Coronavirus The number of coronavirus cases in Turkey has skyrocketed again. Within 24 hours, the number of people who tested positive rose by 277 to 947, as Minister of Health Fahrettin Koca said on Twitter on Saturday evening.",INFORMATIVE,39,1
Mayor Arman Dimaguila and Vice Mayor Gel Alonte tandem. This ship has been sailing smoothly 24/7 since they took over Biñan City. We still have no confirmed #COVID19 case todate. HTTPURL,INFORMATIVE,31,1
"A post secondary schools in Myanmar is closing in three days for am undefined period of time, i suspect as are others and many (all?) to follow. Trainings are off. But there's no coronavirus? #Myanmar",UNINFORMATIVE,35,1
"The excerpt below frightens me the most because our testing numbers are crap and people are not #SocialDistancing As of Saturday morning, the U.S. has conducted more than 150,000 tests total, yielding 19,155 confirmed positive results, according to the COVID Tracking Project.",INFORMATIVE,42,1
"Just how lethal is the coronavirus? South Korea may have the best answer #SmartNews - Within a month of confirming first case of Coronavirus, SK tested 8,000 cases of possible infections, and a little over a week later the number soared to 82,000 cases. HTTPURL",INFORMATIVE,45,2
B․C․ provincial health officer assures health-care workers in COVID-19 fight HTTPURL,UNINFORMATIVE,11,0
"Last week most new Covid19 cases in Canada came from Iran, this week most of them have come from the USA. Making America great! #America #COVID19 #Trump #outofcontrol",UNINFORMATIVE,28,1
"Rest in peace Ellis Marsalis Jr.----Jazz musician pianist and educator as well as father to jazz musicians Wynton Marsalis and Branford Marsalis. Ellis Marsalis Jr. died on April 1, 2020 at age 85 of COVID-19 complications.",INFORMATIVE,36,1
Raining now in the #Refugee camp of Malakasa near #Athens #Greece. Camp goes into #quarantine after one of its inhabitants tests positive for #COVIDー19. This is the second camp on the mainland that is quarantined. #Covid_19 #COVID2019 #covid19Gr HTTPURL,INFORMATIVE,39,1
